no,topic,description,example
548,Graph Coloring with Randomization,"Graph Coloring with Randomization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
549,Graph Coloring with Amortized Analysis,"Graph Coloring with Amortized Analysis: key idea, when to use it, and its core properties or equations.","Amortized analysis.
Example: dynamic array resize doubles capacity → average append O(1)."
550,Graph Coloring with Persistence,"Graph Coloring with Persistence: key idea, when to use it, and its core properties or equations.","Persistent data structure keeps old versions.
Example: persistent segment tree supports time-travel queries."
551,Graph Coloring with Space Optimization,"Graph Coloring with Space Optimization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
552,Graph Coloring with Parallelization (GPU),"Graph Coloring with Parallelization (GPU): key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
553,Graph Coloring in External Memory Model,"Graph Coloring in External Memory Model: key idea, when to use it, and its core properties or equations.","I/O model.
Example: external mergesort uses block reads/writes; complexity O((N/B) log_{M/B}(N/B))."
554,Graph Coloring under Heavy-Tailed Data,"Graph Coloring under Heavy-Tailed Data: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
555,Graph Coloring at Web Scale,"Graph Coloring at Web Scale: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
556,Graph Coloring under Tight Latency SLOs,"Graph Coloring under Tight Latency SLOs: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
557,Graph Coloring with Backpressure,"Graph Coloring with Backpressure: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
558,Graph Coloring with Batching,"Graph Coloring with Batching: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
559,Graph Coloring with Circuit Breaker,"Graph Coloring with Circuit Breaker: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
560,Graph Coloring with Retries,"Graph Coloring with Retries: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
561,Constraint Satisfaction with Segment Tree,"Constraint Satisfaction with Segment Tree: key idea, when to use it, and its core properties or equations.","Segment tree for range queries.
Example: arr=[2,1,5,3]; range max [2,4]→max(1,5,3)=5; point update in O(log n)."
562,Constraint Satisfaction with Fenwick Tree,"Constraint Satisfaction with Fenwick Tree: key idea, when to use it, and its core properties or equations.","Fenwick tree (BIT) supports prefix sums.
Example: arr=[1,2,3,4]; query(3)→1+2+3=6; update(2,+5) in O(log n)."
563,Constraint Satisfaction with Lazy Propagation,"Constraint Satisfaction with Lazy Propagation: key idea, when to use it, and its core properties or equations.","Example: Range sum queries on arr=[2,1,5,3,4].
Build segment tree; query [2,5]→1+5+3+4=13; point update (3,+2) updates O(log n)."
564,Constraint Satisfaction with Disjoint Set Union,"Constraint Satisfaction with Disjoint Set Union: key idea, when to use it, and its core properties or equations.","Union-Find: merges and finds components.
Example: union(1,2), union(2,3) → find(1)==find(3). Path compression + union by rank → α(n)."
565,Constraint Satisfaction with Rolling Hash,"Constraint Satisfaction with Rolling Hash: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
566,Constraint Satisfaction with KMP Preprocessing,"Constraint Satisfaction with KMP Preprocessing: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
567,Constraint Satisfaction with Prefix Sums,"Constraint Satisfaction with Prefix Sums: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
568,Constraint Satisfaction with Difference Array,"Constraint Satisfaction with Difference Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
569,Constraint Satisfaction on Trees,"Constraint Satisfaction on Trees: key idea, when to use it, and its core properties or equations.","Tree queries via Euler tour + RMQ.
Example: LCA(u,v) answered in O(1) after O(n log n) preprocess."
570,Constraint Satisfaction on DAGs,"Constraint Satisfaction on DAGs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
571,Constraint Satisfaction on Grid Graphs,"Constraint Satisfaction on Grid Graphs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
572,Constraint Satisfaction on Bipartite Graphs,"Constraint Satisfaction on Bipartite Graphs: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
573,Constraint Satisfaction with Sweep Line,"Constraint Satisfaction with Sweep Line: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
574,Constraint Satisfaction with Meet-in-the-Middle,"Constraint Satisfaction with Meet-in-the-Middle: key idea, when to use it, and its core properties or equations.","Split set into halves, enumerate sums.
Example: subset sum N=40 → 2·2^{20} instead of 2^{40}."
575,Constraint Satisfaction with Randomization,"Constraint Satisfaction with Randomization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
576,Constraint Satisfaction with Amortized Analysis,"Constraint Satisfaction with Amortized Analysis: key idea, when to use it, and its core properties or equations.","Amortized analysis.
Example: dynamic array resize doubles capacity → average append O(1)."
577,Constraint Satisfaction with Persistence,"Constraint Satisfaction with Persistence: key idea, when to use it, and its core properties or equations.","Persistent data structure keeps old versions.
Example: persistent segment tree supports time-travel queries."
578,Constraint Satisfaction with Space Optimization,"Constraint Satisfaction with Space Optimization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
579,Constraint Satisfaction with Parallelization (GPU),"Constraint Satisfaction with Parallelization (GPU): key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
580,Constraint Satisfaction in External Memory Model,"Constraint Satisfaction in External Memory Model: key idea, when to use it, and its core properties or equations.","I/O model.
Example: external mergesort uses block reads/writes; complexity O((N/B) log_{M/B}(N/B))."
581,Constraint Satisfaction under Heavy-Tailed Data,"Constraint Satisfaction under Heavy-Tailed Data: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
582,Constraint Satisfaction at Web Scale,"Constraint Satisfaction at Web Scale: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
583,Constraint Satisfaction under Tight Latency SLOs,"Constraint Satisfaction under Tight Latency SLOs: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
584,Constraint Satisfaction with Backpressure,"Constraint Satisfaction with Backpressure: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
585,Constraint Satisfaction with Batching,"Constraint Satisfaction with Batching: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
586,Constraint Satisfaction with Circuit Breaker,"Constraint Satisfaction with Circuit Breaker: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
587,Constraint Satisfaction with Retries,"Constraint Satisfaction with Retries: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
588,Computational Geometry with Segment Tree,"Computational Geometry with Segment Tree: key idea, when to use it, and its core properties or equations.","Segment tree for range queries.
Example: arr=[2,1,5,3]; range max [2,4]→max(1,5,3)=5; point update in O(log n)."
589,Computational Geometry with Fenwick Tree,"Computational Geometry with Fenwick Tree: key idea, when to use it, and its core properties or equations.","Fenwick tree (BIT) supports prefix sums.
Example: arr=[1,2,3,4]; query(3)→1+2+3=6; update(2,+5) in O(log n)."
590,Computational Geometry with Lazy Propagation,"Computational Geometry with Lazy Propagation: key idea, when to use it, and its core properties or equations.","Example: Range sum queries on arr=[2,1,5,3,4].
Build segment tree; query [2,5]→1+5+3+4=13; point update (3,+2) updates O(log n)."
591,Computational Geometry with Disjoint Set Union,"Computational Geometry with Disjoint Set Union: key idea, when to use it, and its core properties or equations.","Union-Find: merges and finds components.
Example: union(1,2), union(2,3) → find(1)==find(3). Path compression + union by rank → α(n)."
592,Computational Geometry with Rolling Hash,"Computational Geometry with Rolling Hash: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
593,Computational Geometry with KMP Preprocessing,"Computational Geometry with KMP Preprocessing: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
594,Computational Geometry with Prefix Sums,"Computational Geometry with Prefix Sums: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
595,Computational Geometry with Difference Array,"Computational Geometry with Difference Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
596,Computational Geometry on Trees,"Computational Geometry on Trees: key idea, when to use it, and its core properties or equations.","Tree queries via Euler tour + RMQ.
Example: LCA(u,v) answered in O(1) after O(n log n) preprocess."
597,Computational Geometry on DAGs,"Computational Geometry on DAGs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
598,Computational Geometry on Grid Graphs,"Computational Geometry on Grid Graphs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
599,Computational Geometry on Bipartite Graphs,"Computational Geometry on Bipartite Graphs: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
600,Computational Geometry with Sweep Line,"Computational Geometry with Sweep Line: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
601,Computational Geometry with Meet-in-the-Middle,"Computational Geometry with Meet-in-the-Middle: key idea, when to use it, and its core properties or equations.","Split set into halves, enumerate sums.
Example: subset sum N=40 → 2·2^{20} instead of 2^{40}."
602,Computational Geometry with Randomization,"Computational Geometry with Randomization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
603,Computational Geometry with Amortized Analysis,"Computational Geometry with Amortized Analysis: key idea, when to use it, and its core properties or equations.","Amortized analysis.
Example: dynamic array resize doubles capacity → average append O(1)."
604,Computational Geometry with Persistence,"Computational Geometry with Persistence: key idea, when to use it, and its core properties or equations.","Persistent data structure keeps old versions.
Example: persistent segment tree supports time-travel queries."
605,Computational Geometry with Space Optimization,"Computational Geometry with Space Optimization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
606,Computational Geometry with Parallelization (GPU),"Computational Geometry with Parallelization (GPU): key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
607,Computational Geometry in External Memory Model,"Computational Geometry in External Memory Model: key idea, when to use it, and its core properties or equations.","I/O model.
Example: external mergesort uses block reads/writes; complexity O((N/B) log_{M/B}(N/B))."
608,Computational Geometry under Heavy-Tailed Data,"Computational Geometry under Heavy-Tailed Data: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
609,Computational Geometry at Web Scale,"Computational Geometry at Web Scale: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
610,Computational Geometry under Tight Latency SLOs,"Computational Geometry under Tight Latency SLOs: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
611,Computational Geometry with Backpressure,"Computational Geometry with Backpressure: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
612,Computational Geometry with Batching,"Computational Geometry with Batching: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
613,Computational Geometry with Circuit Breaker,"Computational Geometry with Circuit Breaker: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
614,Computational Geometry with Retries,"Computational Geometry with Retries: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
615,Approximation Algorithms with Segment Tree,"Approximation Algorithms with Segment Tree: key idea, when to use it, and its core properties or equations.","Segment tree for range queries.
Example: arr=[2,1,5,3]; range max [2,4]→max(1,5,3)=5; point update in O(log n)."
616,Approximation Algorithms with Fenwick Tree,"Approximation Algorithms with Fenwick Tree: key idea, when to use it, and its core properties or equations.","Fenwick tree (BIT) supports prefix sums.
Example: arr=[1,2,3,4]; query(3)→1+2+3=6; update(2,+5) in O(log n)."
617,Approximation Algorithms with Lazy Propagation,"Approximation Algorithms with Lazy Propagation: key idea, when to use it, and its core properties or equations.","Example: Range sum queries on arr=[2,1,5,3,4].
Build segment tree; query [2,5]→1+5+3+4=13; point update (3,+2) updates O(log n)."
618,Approximation Algorithms with Disjoint Set Union,"Approximation Algorithms with Disjoint Set Union: key idea, when to use it, and its core properties or equations.","Union-Find: merges and finds components.
Example: union(1,2), union(2,3) → find(1)==find(3). Path compression + union by rank → α(n)."
619,Approximation Algorithms with Rolling Hash,"Approximation Algorithms with Rolling Hash: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
620,Approximation Algorithms with KMP Preprocessing,"Approximation Algorithms with KMP Preprocessing: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
621,Approximation Algorithms with Prefix Sums,"Approximation Algorithms with Prefix Sums: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
622,Approximation Algorithms with Difference Array,"Approximation Algorithms with Difference Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
623,Approximation Algorithms on Trees,"Approximation Algorithms on Trees: key idea, when to use it, and its core properties or equations.","Tree queries via Euler tour + RMQ.
Example: LCA(u,v) answered in O(1) after O(n log n) preprocess."
624,Approximation Algorithms on DAGs,"Approximation Algorithms on DAGs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
625,Approximation Algorithms on Grid Graphs,"Approximation Algorithms on Grid Graphs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
626,Approximation Algorithms on Bipartite Graphs,"Approximation Algorithms on Bipartite Graphs: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
627,Approximation Algorithms with Sweep Line,"Approximation Algorithms with Sweep Line: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
628,Approximation Algorithms with Meet-in-the-Middle,"Approximation Algorithms with Meet-in-the-Middle: key idea, when to use it, and its core properties or equations.","Split set into halves, enumerate sums.
Example: subset sum N=40 → 2·2^{20} instead of 2^{40}."
629,Approximation Algorithms with Randomization,"Approximation Algorithms with Randomization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
630,Approximation Algorithms with Amortized Analysis,"Approximation Algorithms with Amortized Analysis: key idea, when to use it, and its core properties or equations.","Amortized analysis.
Example: dynamic array resize doubles capacity → average append O(1)."
631,Approximation Algorithms with Persistence,"Approximation Algorithms with Persistence: key idea, when to use it, and its core properties or equations.","Persistent data structure keeps old versions.
Example: persistent segment tree supports time-travel queries."
632,Approximation Algorithms with Space Optimization,"Approximation Algorithms with Space Optimization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
633,Approximation Algorithms with Parallelization (GPU),"Approximation Algorithms with Parallelization (GPU): key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
634,Approximation Algorithms in External Memory Model,"Approximation Algorithms in External Memory Model: key idea, when to use it, and its core properties or equations.","I/O model.
Example: external mergesort uses block reads/writes; complexity O((N/B) log_{M/B}(N/B))."
635,Approximation Algorithms under Heavy-Tailed Data,"Approximation Algorithms under Heavy-Tailed Data: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
636,Approximation Algorithms at Web Scale,"Approximation Algorithms at Web Scale: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
637,Approximation Algorithms under Tight Latency SLOs,"Approximation Algorithms under Tight Latency SLOs: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
638,Approximation Algorithms with Backpressure,"Approximation Algorithms with Backpressure: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
639,Approximation Algorithms with Batching,"Approximation Algorithms with Batching: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
640,Approximation Algorithms with Circuit Breaker,"Approximation Algorithms with Circuit Breaker: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
641,Approximation Algorithms with Retries,"Approximation Algorithms with Retries: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
642,Online Algorithms with Segment Tree,"Online Algorithms with Segment Tree: key idea, when to use it, and its core properties or equations.","Segment tree for range queries.
Example: arr=[2,1,5,3]; range max [2,4]→max(1,5,3)=5; point update in O(log n)."
643,Online Algorithms with Fenwick Tree,"Online Algorithms with Fenwick Tree: key idea, when to use it, and its core properties or equations.","Fenwick tree (BIT) supports prefix sums.
Example: arr=[1,2,3,4]; query(3)→1+2+3=6; update(2,+5) in O(log n)."
644,Online Algorithms with Lazy Propagation,"Online Algorithms with Lazy Propagation: key idea, when to use it, and its core properties or equations.","Example: Range sum queries on arr=[2,1,5,3,4].
Build segment tree; query [2,5]→1+5+3+4=13; point update (3,+2) updates O(log n)."
645,Online Algorithms with Disjoint Set Union,"Online Algorithms with Disjoint Set Union: key idea, when to use it, and its core properties or equations.","Union-Find: merges and finds components.
Example: union(1,2), union(2,3) → find(1)==find(3). Path compression + union by rank → α(n)."
646,Online Algorithms with Rolling Hash,"Online Algorithms with Rolling Hash: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
647,Online Algorithms with KMP Preprocessing,"Online Algorithms with KMP Preprocessing: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
648,Online Algorithms with Prefix Sums,"Online Algorithms with Prefix Sums: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
649,Online Algorithms with Difference Array,"Online Algorithms with Difference Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
650,Online Algorithms on Trees,"Online Algorithms on Trees: key idea, when to use it, and its core properties or equations.","Tree queries via Euler tour + RMQ.
Example: LCA(u,v) answered in O(1) after O(n log n) preprocess."
651,Online Algorithms on DAGs,"Online Algorithms on DAGs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
652,Online Algorithms on Grid Graphs,"Online Algorithms on Grid Graphs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
653,Online Algorithms on Bipartite Graphs,"Online Algorithms on Bipartite Graphs: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
654,Online Algorithms with Sweep Line,"Online Algorithms with Sweep Line: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
655,Online Algorithms with Meet-in-the-Middle,"Online Algorithms with Meet-in-the-Middle: key idea, when to use it, and its core properties or equations.","Split set into halves, enumerate sums.
Example: subset sum N=40 → 2·2^{20} instead of 2^{40}."
656,Online Algorithms with Randomization,"Online Algorithms with Randomization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
657,Online Algorithms with Amortized Analysis,"Online Algorithms with Amortized Analysis: key idea, when to use it, and its core properties or equations.","Amortized analysis.
Example: dynamic array resize doubles capacity → average append O(1)."
658,Online Algorithms with Persistence,"Online Algorithms with Persistence: key idea, when to use it, and its core properties or equations.","Persistent data structure keeps old versions.
Example: persistent segment tree supports time-travel queries."
659,Online Algorithms with Space Optimization,"Online Algorithms with Space Optimization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
660,Online Algorithms with Parallelization (GPU),"Online Algorithms with Parallelization (GPU): key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
661,Online Algorithms in External Memory Model,"Online Algorithms in External Memory Model: key idea, when to use it, and its core properties or equations.","I/O model.
Example: external mergesort uses block reads/writes; complexity O((N/B) log_{M/B}(N/B))."
662,Online Algorithms under Heavy-Tailed Data,"Online Algorithms under Heavy-Tailed Data: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
663,Online Algorithms at Web Scale,"Online Algorithms at Web Scale: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
664,Online Algorithms under Tight Latency SLOs,"Online Algorithms under Tight Latency SLOs: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
665,Online Algorithms with Backpressure,"Online Algorithms with Backpressure: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
666,Online Algorithms with Batching,"Online Algorithms with Batching: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
667,Online Algorithms with Circuit Breaker,"Online Algorithms with Circuit Breaker: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
668,Online Algorithms with Retries,"Online Algorithms with Retries: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
669,Streaming Algorithms with Segment Tree,"Streaming Algorithms with Segment Tree: key idea, when to use it, and its core properties or equations.","Segment tree for range queries.
Example: arr=[2,1,5,3]; range max [2,4]→max(1,5,3)=5; point update in O(log n)."
670,Streaming Algorithms with Fenwick Tree,"Streaming Algorithms with Fenwick Tree: key idea, when to use it, and its core properties or equations.","Fenwick tree (BIT) supports prefix sums.
Example: arr=[1,2,3,4]; query(3)→1+2+3=6; update(2,+5) in O(log n)."
671,Streaming Algorithms with Lazy Propagation,"Streaming Algorithms with Lazy Propagation: key idea, when to use it, and its core properties or equations.","Example: Range sum queries on arr=[2,1,5,3,4].
Build segment tree; query [2,5]→1+5+3+4=13; point update (3,+2) updates O(log n)."
672,Streaming Algorithms with Disjoint Set Union,"Streaming Algorithms with Disjoint Set Union: key idea, when to use it, and its core properties or equations.","Union-Find: merges and finds components.
Example: union(1,2), union(2,3) → find(1)==find(3). Path compression + union by rank → α(n)."
673,Streaming Algorithms with Rolling Hash,"Streaming Algorithms with Rolling Hash: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
674,Streaming Algorithms with KMP Preprocessing,"Streaming Algorithms with KMP Preprocessing: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
675,Streaming Algorithms with Prefix Sums,"Streaming Algorithms with Prefix Sums: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
676,Streaming Algorithms with Difference Array,"Streaming Algorithms with Difference Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
677,Streaming Algorithms on Trees,"Streaming Algorithms on Trees: key idea, when to use it, and its core properties or equations.","Tree queries via Euler tour + RMQ.
Example: LCA(u,v) answered in O(1) after O(n log n) preprocess."
