no,topic,description,example
567,Laplace's Equation in Diamagnetic Material,"Laplace's Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
568,Laplace's Equation in Metamaterial,"Laplace's Equation in Metamaterial: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
569,Laplace's Equation with Dirichlet Boundary Conditions,"Laplace's Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
570,Laplace's Equation with Neumann Boundary Conditions,"Laplace's Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
571,Laplace's Equation with Periodic Boundary Conditions,"Laplace's Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
572,Laplace's Equation with Mixed Boundary Conditions,"Laplace's Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
573,Laplace's Equation with Radiation Boundary,"Laplace's Equation with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
574,Laplace's Equation with Perfect Conductor Boundary,"Laplace's Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
575,Poisson's Equation in Spherical Shell,"Poisson's Equation in Spherical Shell: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
576,Poisson's Equation in Infinite Plane,"Poisson's Equation in Infinite Plane: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
577,Poisson's Equation in Long Solenoid,"Poisson's Equation in Long Solenoid: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
578,Poisson's Equation in Toroid,"Poisson's Equation in Toroid: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
579,Poisson's Equation in Coaxial Cable,"Poisson's Equation in Coaxial Cable: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
580,Poisson's Equation in Parallel Plate,"Poisson's Equation in Parallel Plate: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
581,Poisson's Equation in Cylindrical Cavity,"Poisson's Equation in Cylindrical Cavity: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
582,Poisson's Equation in Rectangular Waveguide,"Poisson's Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
583,Poisson's Equation in Fabry–Pérot Cavity,"Poisson's Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
584,Poisson's Equation in Spherical Cavity,"Poisson's Equation in Spherical Cavity: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
585,Poisson's Equation in Cylindrical Shell,"Poisson's Equation in Cylindrical Shell: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
586,Poisson's Equation in Spherical Capacitor,"Poisson's Equation in Spherical Capacitor: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
587,Poisson's Equation in Coil Pair (Helmholtz),"Poisson's Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
588,Poisson's Equation in Dipole Field,"Poisson's Equation in Dipole Field: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
589,Poisson's Equation in Quadrupole Field,"Poisson's Equation in Quadrupole Field: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
590,Poisson's Equation in Vacuum,"Poisson's Equation in Vacuum: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
591,Poisson's Equation in Dielectric Medium,"Poisson's Equation in Dielectric Medium: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
592,Poisson's Equation in Conducting Medium,"Poisson's Equation in Conducting Medium: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
593,Poisson's Equation in Anisotropic Medium,"Poisson's Equation in Anisotropic Medium: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
594,Poisson's Equation in Superconductor,"Poisson's Equation in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
595,Poisson's Equation in Plasma,"Poisson's Equation in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
596,Poisson's Equation in Semiconductor,"Poisson's Equation in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
597,Poisson's Equation in Ferromagnetic Material,"Poisson's Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
598,Poisson's Equation in Paramagnetic Material,"Poisson's Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
599,Poisson's Equation in Diamagnetic Material,"Poisson's Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
600,Poisson's Equation in Metamaterial,"Poisson's Equation in Metamaterial: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
601,Poisson's Equation with Dirichlet Boundary Conditions,"Poisson's Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
602,Poisson's Equation with Neumann Boundary Conditions,"Poisson's Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
603,Poisson's Equation with Periodic Boundary Conditions,"Poisson's Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
604,Poisson's Equation with Mixed Boundary Conditions,"Poisson's Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
605,Poisson's Equation with Radiation Boundary,"Poisson's Equation with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
606,Poisson's Equation with Perfect Conductor Boundary,"Poisson's Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
607,Diffusion Equation in Spherical Shell,"Diffusion Equation in Spherical Shell: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
608,Diffusion Equation in Infinite Plane,"Diffusion Equation in Infinite Plane: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
609,Diffusion Equation in Long Solenoid,"Diffusion Equation in Long Solenoid: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
610,Diffusion Equation in Toroid,"Diffusion Equation in Toroid: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
611,Diffusion Equation in Coaxial Cable,"Diffusion Equation in Coaxial Cable: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
612,Diffusion Equation in Parallel Plate,"Diffusion Equation in Parallel Plate: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
613,Diffusion Equation in Cylindrical Cavity,"Diffusion Equation in Cylindrical Cavity: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
614,Diffusion Equation in Rectangular Waveguide,"Diffusion Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
615,Diffusion Equation in Fabry–Pérot Cavity,"Diffusion Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
616,Diffusion Equation in Spherical Cavity,"Diffusion Equation in Spherical Cavity: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
617,Diffusion Equation in Cylindrical Shell,"Diffusion Equation in Cylindrical Shell: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
618,Diffusion Equation in Spherical Capacitor,"Diffusion Equation in Spherical Capacitor: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
619,Diffusion Equation in Coil Pair (Helmholtz),"Diffusion Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
620,Diffusion Equation in Dipole Field,"Diffusion Equation in Dipole Field: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
621,Diffusion Equation in Quadrupole Field,"Diffusion Equation in Quadrupole Field: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
622,Diffusion Equation in Vacuum,"Diffusion Equation in Vacuum: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
623,Diffusion Equation in Dielectric Medium,"Diffusion Equation in Dielectric Medium: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
624,Diffusion Equation in Conducting Medium,"Diffusion Equation in Conducting Medium: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
625,Diffusion Equation in Anisotropic Medium,"Diffusion Equation in Anisotropic Medium: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
626,Diffusion Equation in Superconductor,"Diffusion Equation in Superconductor: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
627,Diffusion Equation in Plasma,"Diffusion Equation in Plasma: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
628,Diffusion Equation in Semiconductor,"Diffusion Equation in Semiconductor: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
629,Diffusion Equation in Ferromagnetic Material,"Diffusion Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
630,Diffusion Equation in Paramagnetic Material,"Diffusion Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
631,Diffusion Equation in Diamagnetic Material,"Diffusion Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
632,Diffusion Equation in Metamaterial,"Diffusion Equation in Metamaterial: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
633,Diffusion Equation with Dirichlet Boundary Conditions,"Diffusion Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
634,Diffusion Equation with Neumann Boundary Conditions,"Diffusion Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
635,Diffusion Equation with Periodic Boundary Conditions,"Diffusion Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
636,Diffusion Equation with Mixed Boundary Conditions,"Diffusion Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
637,Diffusion Equation with Radiation Boundary,"Diffusion Equation with Radiation Boundary: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
638,Diffusion Equation with Perfect Conductor Boundary,"Diffusion Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
639,Dirac Equation in Spherical Shell,"Dirac Equation in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
640,Dirac Equation in Infinite Plane,"Dirac Equation in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
641,Dirac Equation in Long Solenoid,"Dirac Equation in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
642,Dirac Equation in Toroid,"Dirac Equation in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
643,Dirac Equation in Coaxial Cable,"Dirac Equation in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
644,Dirac Equation in Parallel Plate,"Dirac Equation in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
645,Dirac Equation in Cylindrical Cavity,"Dirac Equation in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
646,Dirac Equation in Rectangular Waveguide,"Dirac Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
647,Dirac Equation in Fabry–Pérot Cavity,"Dirac Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
648,Dirac Equation in Spherical Cavity,"Dirac Equation in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
649,Dirac Equation in Cylindrical Shell,"Dirac Equation in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
650,Dirac Equation in Spherical Capacitor,"Dirac Equation in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
651,Dirac Equation in Coil Pair (Helmholtz),"Dirac Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
652,Dirac Equation in Dipole Field,"Dirac Equation in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
653,Dirac Equation in Quadrupole Field,"Dirac Equation in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
654,Dirac Equation in Vacuum,"Dirac Equation in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
655,Dirac Equation in Dielectric Medium,"Dirac Equation in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
656,Dirac Equation in Conducting Medium,"Dirac Equation in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
657,Dirac Equation in Anisotropic Medium,"Dirac Equation in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
658,Dirac Equation in Superconductor,"Dirac Equation in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
659,Dirac Equation in Plasma,"Dirac Equation in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
660,Dirac Equation in Semiconductor,"Dirac Equation in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
661,Dirac Equation in Ferromagnetic Material,"Dirac Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
662,Dirac Equation in Paramagnetic Material,"Dirac Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
663,Dirac Equation in Diamagnetic Material,"Dirac Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
664,Dirac Equation in Metamaterial,"Dirac Equation in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
665,Dirac Equation with Dirichlet Boundary Conditions,"Dirac Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
666,Dirac Equation with Neumann Boundary Conditions,"Dirac Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
667,Dirac Equation with Periodic Boundary Conditions,"Dirac Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
668,Dirac Equation with Mixed Boundary Conditions,"Dirac Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
669,Dirac Equation with Radiation Boundary,"Dirac Equation with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
670,Dirac Equation with Perfect Conductor Boundary,"Dirac Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
671,Klein–Gordon Equation in Spherical Shell,"Klein–Gordon Equation in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
672,Klein–Gordon Equation in Infinite Plane,"Klein–Gordon Equation in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
673,Klein–Gordon Equation in Long Solenoid,"Klein–Gordon Equation in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
674,Klein–Gordon Equation in Toroid,"Klein–Gordon Equation in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
675,Klein–Gordon Equation in Coaxial Cable,"Klein–Gordon Equation in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
676,Klein–Gordon Equation in Parallel Plate,"Klein–Gordon Equation in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
677,Klein–Gordon Equation in Cylindrical Cavity,"Klein–Gordon Equation in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
678,Klein–Gordon Equation in Rectangular Waveguide,"Klein–Gordon Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
679,Klein–Gordon Equation in Fabry–Pérot Cavity,"Klein–Gordon Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
680,Klein–Gordon Equation in Spherical Cavity,"Klein–Gordon Equation in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
681,Klein–Gordon Equation in Cylindrical Shell,"Klein–Gordon Equation in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
682,Klein–Gordon Equation in Spherical Capacitor,"Klein–Gordon Equation in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
683,Klein–Gordon Equation in Coil Pair (Helmholtz),"Klein–Gordon Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
684,Klein–Gordon Equation in Dipole Field,"Klein–Gordon Equation in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
685,Klein–Gordon Equation in Quadrupole Field,"Klein–Gordon Equation in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
686,Klein–Gordon Equation in Vacuum,"Klein–Gordon Equation in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
687,Klein–Gordon Equation in Dielectric Medium,"Klein–Gordon Equation in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
688,Klein–Gordon Equation in Conducting Medium,"Klein–Gordon Equation in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
689,Klein–Gordon Equation in Anisotropic Medium,"Klein–Gordon Equation in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
690,Klein–Gordon Equation in Superconductor,"Klein–Gordon Equation in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
691,Klein–Gordon Equation in Plasma,"Klein–Gordon Equation in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
692,Klein–Gordon Equation in Semiconductor,"Klein–Gordon Equation in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
693,Klein–Gordon Equation in Ferromagnetic Material,"Klein–Gordon Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
694,Klein–Gordon Equation in Paramagnetic Material,"Klein–Gordon Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
695,Klein–Gordon Equation in Diamagnetic Material,"Klein–Gordon Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
696,Klein–Gordon Equation in Metamaterial,"Klein–Gordon Equation in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
697,Klein–Gordon Equation with Dirichlet Boundary Conditions,"Klein–Gordon Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
698,Klein–Gordon Equation with Neumann Boundary Conditions,"Klein–Gordon Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
699,Klein–Gordon Equation with Periodic Boundary Conditions,"Klein–Gordon Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
700,Klein–Gordon Equation with Mixed Boundary Conditions,"Klein–Gordon Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
701,Klein–Gordon Equation with Radiation Boundary,"Klein–Gordon Equation with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
702,Klein–Gordon Equation with Perfect Conductor Boundary,"Klein–Gordon Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
703,Boltzmann Equation in Spherical Shell,"Boltzmann Equation in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
